entity_type,entity_id,entity_name,region,days,photo_status,intro_status,menu_or_signature_status,price_status,map_status,site_status,hours_status,reservation_status,day_link_status,guide_link_status,search_status,offline_status,overall_verdict,action_needed
ATTRACTION,monaco-walk,---,paris,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,monaco,---,nice,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,montagne-sainte-victoire-terrain-des-peintres,---,aix,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,montmartre-south-pigalle,---,avignon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,montorgueil,---,paris,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,mucem,---,paris,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,musee-carnavalet,---,paris,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,musee-d-art-moderne-de-paris,---,paris,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,musee-d-orsay,---,paris,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,musee-de-l-orangerie,---,unknown,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,musee-du-louvre,---,unknown,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,musee-du-luxembourg,---,paris,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
